answer,description,object,options,raw,type,formatted_options,transformed_sent
"Filled with sorrow, he sat down beneath them and thought about his fate.",Какое предложение верно?,"Filled with sorrow, he sat down beneath them and thought about his fate.","['Filled with sorrow, he sat down beneath them and thought about his fate.', 'Empty with sadness, he stood down beneath them and why about his uncertain.', 'Overflowing with sadness, he suddenly down beneath them and knew about his fates.']","Filled with sorrow, he sat down beneath them and thought about his fate.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r10-0"" name=""rname10"" 
                                     onchange='myFunction(""Filled with sorrow, he sat down beneath them and thought about his fate."", ""r10-0"", ""p10"")'
                                     value=""Filled with sorrow, he sat down beneath them and thought about his fate."">
                                   <label class=""form-check-label"" for=""r10-0"">Filled with sorrow, he sat down beneath them and thought about his fate.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r10-1"" name=""rname10"" 
                                     onchange='myFunction(""Filled with sorrow, he sat down beneath them and thought about his fate."", ""r10-1"", ""p10"")'
                                     value=""Empty with sadness, he stood down beneath them and why about his uncertain."">
                                   <label class=""form-check-label"" for=""r10-1"">Empty with sadness, he stood down beneath them and why about his uncertain.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r10-2"" name=""rname10"" 
                                     onchange='myFunction(""Filled with sorrow, he sat down beneath them and thought about his fate."", ""r10-2"", ""p10"")'
                                     value=""Overflowing with sadness, he suddenly down beneath them and knew about his fates."">
                                   <label class=""form-check-label"" for=""r10-2"">Overflowing with sadness, he suddenly down beneath them and knew about his fates.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r10-0"" name=""rname10"" 
                                     onchange='myFunction(""Filled with sorrow, he sat down beneath them and thought about his fate."", ""r10-0"", ""p10"")'
                                     value=""Filled with sorrow, he sat down beneath them and thought about his fate."">
                                   <label class=""form-check-label"" for=""r10-0"">Filled with sorrow, he sat down beneath them and thought about his fate.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r10-1"" name=""rname10"" 
                                     onchange='myFunction(""Filled with sorrow, he sat down beneath them and thought about his fate."", ""r10-1"", ""p10"")'
                                     value=""Empty with sadness, he stood down beneath them and why about his uncertain."">
                                   <label class=""form-check-label"" for=""r10-1"">Empty with sadness, he stood down beneath them and why about his uncertain.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r10-2"" name=""rname10"" 
                                     onchange='myFunction(""Filled with sorrow, he sat down beneath them and thought about his fate."", ""r10-2"", ""p10"")'
                                     value=""Overflowing with sadness, he suddenly down beneath them and knew about his fates."">
                                   <label class=""form-check-label"" for=""r10-2"">Overflowing with sadness, he suddenly down beneath them and knew about his fates.
                                   </label></div>"
war,Выберите слово,war,"['war', 'conflict', 'wars']","""I have no money,"" he thought, ""and the only trade I have learned is that of making war, and now that they have made peace they can no longer use me, so I see that I shall starve.""",select_word,"<select class=""form-select"" id=""s11"" onchange=""myFunction('war', 's11', 'p11')""><option selected>–––</option><option value=""war"">war</option><option value=""conflict"">conflict</option><option value=""wars"">wars</option></select>","""I have no money,"" he thought, ""and the only trade I have learned is that of making <select class=""form-select"" id=""s11"" onchange=""myFunction('war', 's11', 'p11')""><option selected>–––</option><option value=""war"">war</option><option value=""conflict"">conflict</option><option value=""wars"">wars</option></select>, and now that they have made peace they can no longer use me, so I see that I shall starve."""
nominal subject,Чем является выделенная фраза?,a strange man,"['object of preposition', 'nominal subject', 'direct object']","Suddenly he heard a rustling sound, and when he looked around, a strange man was standing before him.",noun_phrases,"<strong>a strange man</strong> <select class=""form-select"" id=""s12"" onchange=""myFunction('nominal subject', 's12', 'p12')""><option selected>–––</option><option value=""object of preposition"">object of preposition</option><option value=""nominal subject"">nominal subject</option><option value=""direct object"">direct object</option></select>","Suddenly he heard a rustling sound, and when he looked around, <strong>a strange man</strong> <select class=""form-select"" id=""s12"" onchange=""myFunction('nominal subject', 's12', 'p12')""><option selected>–––</option><option value=""object of preposition"">object of preposition</option><option value=""nominal subject"">nominal subject</option><option value=""direct object"">direct object</option></select> was standing before him."
looked,Выберите слово,looked,"['looked', 'seemed', 'looking']","He wore a green jacket and looked quite stately, but he had a hideous horse's foot.",select_word,"<select class=""form-select"" id=""s13"" onchange=""myFunction('looked', 's13', 'p13')""><option selected>–––</option><option value=""looked"">looked</option><option value=""seemed"">seemed</option><option value=""looking"">looking</option></select>","He wore a green jacket and <select class=""form-select"" id=""s13"" onchange=""myFunction('looked', 's13', 'p13')""><option selected>–––</option><option value=""looked"">looked</option><option value=""seemed"">seemed</option><option value=""looking"">looking</option></select> quite stately, but he had a hideous horse's foot."
said,Выберите слово,said,"['said', 'told', 'says']","""I know what you are in need of,"" said the man.",select_word,"<select class=""form-select"" id=""s14"" onchange=""myFunction('said', 's14', 'p14')""><option selected>–––</option><option value=""said"">said</option><option value=""told"">told</option><option value=""says"">says</option></select>","""I know what you are in need of,"" <select class=""form-select"" id=""s14"" onchange=""myFunction('said', 's14', 'p14')""><option selected>–––</option><option value=""said"">said</option><option value=""told"">told</option><option value=""says"">says</option></select> the man."
know,Заполните пропуск,know,[],"""You shall have money and property, as much as you, with all your might, can squander away, but first I must know if you are fearless, so that I won't be giving away my money for nothing.""",missing_word,"<input class=""form-control"" type=""text"" id=""t15"" onchange=""myFunction('know', 't15', 'p15')"">","""You shall have money and property, as much as you, with all your might, can squander away, but first I must <input class=""form-control"" type=""text"" id=""t15"" onchange=""myFunction('know', 't15', 'p15')""> if you are fearless, so that I won't be giving away my money for nothing."""
 , , , ,"""A soldier and fear -- how can those go together?""", , ,"""A soldier and fear -- how can those go together?"""
test,Заполните пропуск,test,[],"he answered, ""You can put me to the test.""",missing_word,"<input class=""form-control"" type=""text"" id=""t17"" onchange=""myFunction('test', 't17', 'p17')"">","he answered, ""You can put me to the <input class=""form-control"" type=""text"" id=""t17"" onchange=""myFunction('test', 't17', 'p17')"">."""
look,Выберите слово,look,"['looking', 'look', 'see']","""Very well,"" answered the man, ""look behind you.""",select_word,"<select class=""form-select"" id=""s18"" onchange=""myFunction('look', 's18', 'p18')""><option selected>–––</option><option value=""looking"">looking</option><option value=""look"">look</option><option value=""see"">see</option></select>","""Very well,"" answered the man, ""<select class=""form-select"" id=""s18"" onchange=""myFunction('look', 's18', 'p18')""><option selected>–––</option><option value=""looking"">looking</option><option value=""look"">look</option><option value=""see"">see</option></select> behind you."""
large,Заполните пропуск,large,[],The soldier turned around and saw a large growling bear running towards him.,missing_word,"<input class=""form-control"" type=""text"" id=""t19"" onchange=""myFunction('large', 't19', 'p19')"">","The soldier turned around and saw a <input class=""form-control"" type=""text"" id=""t19"" onchange=""myFunction('large', 't19', 'p19')""> growling bear running towards him."
"""Aha,"" shouted the soldier, ""I'll tickle your nose until you lose your desire for growling.""",Какое предложение верно?,"""Aha,"" shouted the soldier, ""I'll tickle your nose until you lose your desire for growling.""","['""Aha,"" screamed the wounded, ""I\'ll makin your neck until you loss your inability for screeching.""', '""Aha,"" shouted the soldier, ""I\'ll tickle your nose until you lose your desire for growling.""', '""Aha,"" screamed the army, ""I\'ll ooh your neck until you losing your willingness for growl.""']","""Aha,"" shouted the soldier, ""I'll tickle your nose until you lose your desire for growling.""",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r20-0"" name=""rname20"" 
                                     onchange='myFunction(""\&quot;Aha,\&quot; shouted the soldier, \&quot;I\&apos;ll tickle your nose until you lose your desire for growling.\&quot;"", ""r20-0"", ""p20"")'
                                     value=""&quot;Aha,&quot; screamed the wounded, &quot;I&apos;ll makin your neck until you loss your inability for screeching.&quot;"">
                                   <label class=""form-check-label"" for=""r20-0"">""Aha,"" screamed the wounded, ""I'll makin your neck until you loss your inability for screeching.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r20-1"" name=""rname20"" 
                                     onchange='myFunction(""\&quot;Aha,\&quot; shouted the soldier, \&quot;I\&apos;ll tickle your nose until you lose your desire for growling.\&quot;"", ""r20-1"", ""p20"")'
                                     value=""&quot;Aha,&quot; shouted the soldier, &quot;I&apos;ll tickle your nose until you lose your desire for growling.&quot;"">
                                   <label class=""form-check-label"" for=""r20-1"">""Aha,"" shouted the soldier, ""I'll tickle your nose until you lose your desire for growling.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r20-2"" name=""rname20"" 
                                     onchange='myFunction(""\&quot;Aha,\&quot; shouted the soldier, \&quot;I\&apos;ll tickle your nose until you lose your desire for growling.\&quot;"", ""r20-2"", ""p20"")'
                                     value=""&quot;Aha,&quot; screamed the army, &quot;I&apos;ll ooh your neck until you losing your willingness for growl.&quot;"">
                                   <label class=""form-check-label"" for=""r20-2"">""Aha,"" screamed the army, ""I'll ooh your neck until you losing your willingness for growl.""
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r20-0"" name=""rname20"" 
                                     onchange='myFunction(""\&quot;Aha,\&quot; shouted the soldier, \&quot;I\&apos;ll tickle your nose until you lose your desire for growling.\&quot;"", ""r20-0"", ""p20"")'
                                     value=""&quot;Aha,&quot; screamed the wounded, &quot;I&apos;ll makin your neck until you loss your inability for screeching.&quot;"">
                                   <label class=""form-check-label"" for=""r20-0"">""Aha,"" screamed the wounded, ""I'll makin your neck until you loss your inability for screeching.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r20-1"" name=""rname20"" 
                                     onchange='myFunction(""\&quot;Aha,\&quot; shouted the soldier, \&quot;I\&apos;ll tickle your nose until you lose your desire for growling.\&quot;"", ""r20-1"", ""p20"")'
                                     value=""&quot;Aha,&quot; shouted the soldier, &quot;I&apos;ll tickle your nose until you lose your desire for growling.&quot;"">
                                   <label class=""form-check-label"" for=""r20-1"">""Aha,"" shouted the soldier, ""I'll tickle your nose until you lose your desire for growling.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r20-2"" name=""rname20"" 
                                     onchange='myFunction(""\&quot;Aha,\&quot; shouted the soldier, \&quot;I\&apos;ll tickle your nose until you lose your desire for growling.\&quot;"", ""r20-2"", ""p20"")'
                                     value=""&quot;Aha,&quot; screamed the army, &quot;I&apos;ll ooh your neck until you losing your willingness for growl.&quot;"">
                                   <label class=""form-check-label"" for=""r20-2"">""Aha,"" screamed the army, ""I'll ooh your neck until you losing your willingness for growl.""
                                   </label></div>"
 , , , ,"Then taking aim at the bear, he shot it in the snout, and it fell down motionless.", , ,"Then taking aim at the bear, he shot it in the snout, and it fell down motionless."
condition,Выберите слово,condition,"['condition', 'unclear', 'anonymity']","""I see quite well,"" said the stranger, ""that you do not lack for courage, but there is one more condition that you will have to fulfill.""",select_word,"<select class=""form-select"" id=""s22"" onchange=""myFunction('condition', 's22', 'p22')""><option selected>–––</option><option value=""condition"">condition</option><option value=""unclear"">unclear</option><option value=""anonymity"">anonymity</option></select>","""I see quite well,"" said the stranger, ""that you do not lack for courage, but there is one more <select class=""form-select"" id=""s22"" onchange=""myFunction('condition', 's22', 'p22')""><option selected>–––</option><option value=""condition"">condition</option><option value=""unclear"">unclear</option><option value=""anonymity"">anonymity</option></select> that you will have to fulfill."""
soldier,Выберите слово,soldier,"['wounded', 'soldier', 'soldiers']","""If it does not endanger my salvation,"" answered the soldier, who knew quite well who was standing before him.",select_word,"<select class=""form-select"" id=""s23"" onchange=""myFunction('soldier', 's23', 'p23')""><option selected>–––</option><option value=""wounded"">wounded</option><option value=""soldier"">soldier</option><option value=""soldiers"">soldiers</option></select>","""If it does not endanger my salvation,"" answered the <select class=""form-select"" id=""s23"" onchange=""myFunction('soldier', 's23', 'p23')""><option selected>–––</option><option value=""wounded"">wounded</option><option value=""soldier"">soldier</option><option value=""soldiers"">soldiers</option></select>, who knew quite well who was standing before him."
"""Otherwise I'll have nothing to do with it.""",Какое предложение верно?,"""Otherwise I'll have nothing to do with it.""","['""Rather I\'ll already nothing to n\'t with it.""', '""Worse I\'ll they nothing to wo with it.""', '""Otherwise I\'ll have nothing to do with it.""']","""Otherwise I'll have nothing to do with it.""",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r24-0"" name=""rname24"" 
                                     onchange='myFunction(""\&quot;Otherwise I\&apos;ll have nothing to do with it.\&quot;"", ""r24-0"", ""p24"")'
                                     value=""&quot;Rather I&apos;ll already nothing to n&apos;t with it.&quot;"">
                                   <label class=""form-check-label"" for=""r24-0"">""Rather I'll already nothing to n't with it.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r24-1"" name=""rname24"" 
                                     onchange='myFunction(""\&quot;Otherwise I\&apos;ll have nothing to do with it.\&quot;"", ""r24-1"", ""p24"")'
                                     value=""&quot;Worse I&apos;ll they nothing to wo with it.&quot;"">
                                   <label class=""form-check-label"" for=""r24-1"">""Worse I'll they nothing to wo with it.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r24-2"" name=""rname24"" 
                                     onchange='myFunction(""\&quot;Otherwise I\&apos;ll have nothing to do with it.\&quot;"", ""r24-2"", ""p24"")'
                                     value=""&quot;Otherwise I&apos;ll have nothing to do with it.&quot;"">
                                   <label class=""form-check-label"" for=""r24-2"">""Otherwise I'll have nothing to do with it.""
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r24-0"" name=""rname24"" 
                                     onchange='myFunction(""\&quot;Otherwise I\&apos;ll have nothing to do with it.\&quot;"", ""r24-0"", ""p24"")'
                                     value=""&quot;Rather I&apos;ll already nothing to n&apos;t with it.&quot;"">
                                   <label class=""form-check-label"" for=""r24-0"">""Rather I'll already nothing to n't with it.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r24-1"" name=""rname24"" 
                                     onchange='myFunction(""\&quot;Otherwise I\&apos;ll have nothing to do with it.\&quot;"", ""r24-1"", ""p24"")'
                                     value=""&quot;Worse I&apos;ll they nothing to wo with it.&quot;"">
                                   <label class=""form-check-label"" for=""r24-1"">""Worse I'll they nothing to wo with it.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r24-2"" name=""rname24"" 
                                     onchange='myFunction(""\&quot;Otherwise I\&apos;ll have nothing to do with it.\&quot;"", ""r24-2"", ""p24"")'
                                     value=""&quot;Otherwise I&apos;ll have nothing to do with it.&quot;"">
                                   <label class=""form-check-label"" for=""r24-2"">""Otherwise I'll have nothing to do with it.""
                                   </label></div>"
see,Заполните пропуск,see,[],"""You'll see about that for yourself,"" answered Greenjacket.",missing_word,"<input class=""form-control"" type=""text"" id=""t25"" onchange=""myFunction('see', 't25', 'p25')"">","""You'll <input class=""form-control"" type=""text"" id=""t25"" onchange=""myFunction('see', 't25', 'p25')""> about that for yourself,"" answered Greenjacket."
wash,Выберите слово,wash,"['dry', 'wash', 'bathe']","""For the next seven years you are neither to wash yourself, nor comb your beard and hair, nor cut your nails, nor say the Lord's prayer.",select_word,"<select class=""form-select"" id=""s26"" onchange=""myFunction('wash', 's26', 'p26')""><option selected>–––</option><option value=""dry"">dry</option><option value=""wash"">wash</option><option value=""bathe"">bathe</option></select>","""For the next seven years you are neither to <select class=""form-select"" id=""s26"" onchange=""myFunction('wash', 's26', 'p26')""><option selected>–––</option><option value=""dry"">dry</option><option value=""wash"">wash</option><option value=""bathe"">bathe</option></select> yourself, nor comb your beard and hair, nor cut your nails, nor say the Lord's prayer."
jacket,Выберите слово,jacket,"['pants', 'jacket', 'shirt']","I will give you a jacket and a cloak, which you must wear during this time.",select_word,"<select class=""form-select"" id=""s27"" onchange=""myFunction('jacket', 's27', 'p27')""><option selected>–––</option><option value=""pants"">pants</option><option value=""jacket"">jacket</option><option value=""shirt"">shirt</option></select>","I will give you a <select class=""form-select"" id=""s27"" onchange=""myFunction('jacket', 's27', 'p27')""><option selected>–––</option><option value=""pants"">pants</option><option value=""jacket"">jacket</option><option value=""shirt"">shirt</option></select> and a cloak, which you must wear during this time."
 , , , ,"If you die during these seven years, you are mine.", , ,"If you die during these seven years, you are mine."
